PARTID;DESCRIPCION;FAMILIA;RUBRO;SUB-RUBRO;MARCA;UNIT_PRICE;IVA;MONEDA;CODIGO DE BARRAS;STOCK_UM;CASE_QTY;DESCRIPCION BULTO
11517065;TORNILLO PARKER 6 X 3/8 C/TAN/COM 5 ENT;MATERIA PRIMA;;;CONEXTUBE;113.69;21;ARS;;Un;1;
11517129;BULON M6 X 15 AUTORROSCANTE TRILOBULAR;MATERIA PRIMA;;;CONEXTUBE;444.91;21;ARS;;Un;1;
11517267;TORNILLO PARKER 6 X 3/8 C PUNTA S CORTE;MATERIA PRIMA;;;CONEXTUBE;69.84;21;ARS;;Un;1;
11527040;TORNILLO PARKER 8 X 11 COMB ROSCA 40°;MATERIA PRIMA;;;CONEXTUBE;95.46;21;ARS;;Un;1;
11527041;TORNILLO PARKER 8 X 16 COMB ROSCA 40°;MATERIA PRIMA;;;CONEXTUBE;113.69;21;ARS;;Un;1;
11527042;TORNILLO PARKER 8 X 5/8 C/FIJ.PUNTA A;MATERIA PRIMA;;;CONEXTUBE;91.77;21;USD;;Un;1;
11597211;TORNILLO PARKER 12X 5/8 C/CORTE PA;MATERIA PRIMA;;;CONEXTUBE;264.52;21;ARS;;Un;1;
12507061;REMACHE CERRADURA AGP NUEVA VERSION;MATERIA PRIMA;;;CONEXTUBE;2,382.72;21;ARS;;Un;1;
14517527;RIEL DIN 12 MOD AGUJERO OVAL. LUXURY;MATERIA PRIMA;;;CONEXTUBE;4,152.46;21;ARS;;Un;1;
14517528;RIEL DIN 18 MOD. LUXURY;MATERIA PRIMA;;;CONEXTUBE;6,860.70;21;ARS;;Un;1;
14521031;SOPORTE MET ZUN POSTE CIA ELEC;SEMIELABORADOS;;;CONEXTUBE;12,726.76;21;ARS;;Un;1;
15000352;TERMINAL BIMET.SECC 35MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;8.57;21;USD;;Un;1;
15000502;TERMINAL BIMET.SECC 50MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;12.85;21;USD;;Un;1;
15000702;TERMINAL BIMET.SECC 70MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;12.98;21;USD;;Un;1;
15000952;TERMINAL BIMET.SECC 95MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;12.26;21;USD;;Un;1;
15001202;TERMINAL BIMET.SECC 120MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;20.44;21;USD;;Un;1;
15001502;TERMINAL BIMET.SECC 150MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;20.44;21;USD;;Un;1;
15001852;TERMINAL BIMET.SECC 185MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;33.29;21;USD;;Un;1;
15002402;TERMINAL BIMET.SECC 240MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;46.04;21;USD;;Un;1;
15003002;TERMINAL BIMET.SECC 300MM2 AGUJ.FIJ Ø16.;TERMINALES BIMETALICOS;;;CONEXTUBE;50.61;21;USD;;Un;1;
15112302;TERMINAL MEC.SECC120-300MM2 AGUJ.FIJØ12.;TERMINALES BIMETALICOS;;;CONEXTUBE;62.29;21;USD;;Un;1;
15112306;TERMINAL MEC.SECC120-300MM2 AGUJ.FIJØ16.;TERMINALES BIMETALICOS;;;CONEXTUBE;62.26;21;USD;;Un;1;
15118402;TERMINAL MEC.SECC185-400MM2 AGUJ.FIJØ12.;TERMINALES BIMETALICOS;;;CONEXTUBE;93.73;21;USD;;Un;1;
15125952;TERMINAL MEC.SECC 25-95MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;17.52;21;USD;;Un;1;
15135152;TERMINAL MEC.SECC35-150MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;28.42;21;USD;;Un;1;
15170242;TERMINAL MEC.SECC70-240MM2 AGUJ.FIJ Ø12.;TERMINALES BIMETALICOS;;;CONEXTUBE;46.04;21;USD;;Un;1;
15212300;CONECTOR MEC.SECC 120-300 MM2 ;TERMINALES BIMETALICOS;;;CONEXTUBE;65.90;21;USD;;Un;1;
15216950;CONECTOR MEC.SECC 16-95 MM2 ;TERMINALES BIMETALICOS;;;CONEXTUBE;15.38;21;USD;;Un;1;
15218400;CONECTOR MEC.SECC 185-400 MM2 ;TERMINALES BIMETALICOS;;;CONEXTUBE;91.88;21;USD;;Un;1;
15225150;CONECTOR MEC.SECC 25-150 MM2 ;TERMINALES BIMETALICOS;;;CONEXTUBE;21.51;21;USD;;Un;1;
15250240;CONECTOR MEC.SECC 50-240 MM2 ;TERMINALES BIMETALICOS;;;CONEXTUBE;53.73;21;USD;;Un;1;
15405007;BARRA DE NEUTRO P/DIARIO ;SEMIELABORADOS;;;CONEXTUBE;28,035.61;21;ARS;;Un;1;
16303150;INT.TERMOMAGNÉTICO CXTA -1X50A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;8.69;21;USD;0163031500007;Un;12;
16303163;INT.TERMOMAGNÉTICO CXTA -1X63A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;8.69;21;USD;0163031630007;Un;12;
16303250;INT.TERMOMAGNÉTICO CXTA -2X50A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;24.65;21;USD;;Un;6;
16303263;INT.TERMOMAGNÉTICO CXTA -2X63A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;14.56;21;USD;;Un;6;
16303350;INT.TERMOMAGNÉTICO CXTA -3X50A- 3KA ;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;25.30;21;USD;1630335000001;Un;4;
16303363;INT.TERMOMAGNÉTICO CXTA -3X63A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;25.30;21;USD;1630336300001;Un;4;
16303450;INT.TERMOMAGNÉTICO CXTA -4X50A- 3KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;29.13;21;USD;1630345000008;Un;3;
16453102;INT.TERMOMAGNÉTICO CXTA -1X2A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;6.44;21;USD;0164531020000;Un;12;
16453106;INT.TERMOMAGNÉTICO CXTA -1X6A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531060008;Un;12;
16453110;INT.TERMOMAGNÉTICO CXTA -1X10A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531100005;Un;12;
16453116;INT.TERMOMAGNÉTICO CXTA -1X16A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531160007;Un;12;
16453120;INT.TERMOMAGNÉTICO CXTA -1X20A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531200004;Un;12;
16453125;INT.TERMOMAGNÉTICO CXTA -1X25A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531250009;Un;12;
16453132;INT.TERMOMAGNÉTICO CXTA -1X32A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;4.81;21;USD;0164531320007;Un;12;
16453140;INT.TERMOMAGNÉTICO CXTA -1X40A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;6.87;21;USD;0164531400002;Un;12;
16453150;INT.TERMOMAGNÉTICO CXTA -1X50A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;8.24;21;USD;;Un;240;
16453163;INT.TERMOMAGNÉTICO CXTA -1X63A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;8.24;21;USD;;Un;240;
16453202;INT.TERMOMAGNÉTICO CXTA -2X2A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;14.49;21;USD;1645320200007;Un;6;
16453206;INT.TERMOMAGNÉTICO CXTA -2X6A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645320600005;Un;6;
16453210;INT.TERMOMAGNÉTICO CXTA -2X10A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645321000002;Un;6;
16453216;INT.TERMOMAGNÉTICO CXTA -2X16A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645321600004;Un;6;
16453220;INT.TERMOMAGNÉTICO CXTA -2X20A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645322000001;Un;6;
16453225;INT.TERMOMAGNÉTICO CXTA -2X25A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645322500006;Un;6;
16453232;INT.TERMOMAGNÉTICO CXTA -2X32A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;10.20;21;USD;1645323200004;Un;6;
16453240;INT.TERMOMAGNÉTICO CXTA -2X40A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;14.56;21;USD;1645324000009;Un;6;
16453250;INT.TERMOMAGNÉTICO CXTA -2X50A- 4.5KA;INTERRUPTORES CONEXTUBE;;;CONEXTUBE;14.56;21;USD;1645325000008;Un;6;
